year,avg_temp,avg_min,avg_max,avg_prcp,avg_dewp
1999,55.85912328767123,48.49835616438356,64.51786301369863,0.11569524098904109,6.047534246575342
2000,53.585491803278686,45.46680327868852,63.20122950819672,0.11960980599453551,5.546857923497268
2001,55.78958904109589,47.548054794520546,65.16265753424658,0.09695723065479452,6.5
2002,55.88427397260274,47.58701369863014,65.52167123287671,0.12222474510821918,6.419452054794521
2003,53.19635616438356,45.47854794520548,62.56227397260274,0.1396640814589041,6.138082191780822
2004,54.19680327868853,46.34467213114754,63.63893442622951,0.1447001771010929,5.94344262295082
2005,55.00449315068493,47.099534246575345,64.49517808219179,0.1421999473520548,5.632739726027397
2006,56.91989041095891,48.99323287671233,66.57282191780821,0.14214118257475994,5.954109589041096
2007,55.49369863013699,47.236876712328765,64.99227397260275,0.14365448378630136,4.682328767123288
2008,55.37811475409836,47.12270491803279,65.18688524590164,0.13679926495628414,4.687295081967213
2009,54.11854794520548,46.490493150684934,63.54561643835616,0.13169514176575342,4.932602739726027
2010,56.69082191780822,48.848,66.35928767123288,0.11361024363835616,5.196849315068493
2011,56.0191506849315,47.99731506849315,65.79956164383562,0.17865072747123287,5.957671232876712
2012,57.48475409836065,49.78975409836065,66.66524590163934,0.1095128813046448,6.445355191256831
2013,54.986739726027395,47.12591780821918,64.58764383561643,0.11316962210821917,5.050821917808219
2014,54.04358904109589,45.7707397260274,63.714027397260274,0.14062676130136986,4.272602739726027
2015,56.13602739726027,47.73249315068493,66.1373698630137,0.10547249789999999,5.298219178082192
2016,57.44245901639344,49.22713114754098,67.32598360655737,0.10134973212038303,5.946584699453552
2017,56.63558904109589,48.556794520547946,66.45446575342466,0.12000437933150684,6.575479452054794
2018,55.62734246575342,47.69994520547945,65.24624657534247,0.16510957033698628,6.78
2019,55.362273972602736,47.16068493150685,65.03098630136986,0.15039054610136984,6.138493150684932
2020,57.16803278688525,49.09655737704918,66.87303278688525,0.11634456177185792,6.692349726775956
2021,57.06635616438356,48.9293698630137,66.77328767123288,0.13546500731824415,6.130684931506849
2022,56.10915068493151,47.60969863013699,66.3346301369863,0.11640929595342465,5.388356164383562
2023,57.172876712328765,49.13156164383562,66.79350684931507,0.16343553211232875,6.840684931506849
